No,수집일,발행일,브랜드명,함께노출된브랜드,기사제목,채널,미디어명,타입
1,2026-04-02,2026-04-01,Van Cleef & Arpels,,#제작비지원 반클리프 아펠 꽃이 잠실 한복판에 피었습니다. 🌸 반클리프 아펠이 봄을 맞아 잠실 롯데월드타워 월드파크에 꿈결 같은 봄의 정원 ‘Spring is Blooming’의 문을 열었습니다. 모두에게 열려있는 이 아름다운 정원은 메종과 오래도록 협업해 온 프랑스 아티스 - instagram.com,인스타그램,Instagram,SNS
2,2026-04-02,2026-04-01,Van Cleef & Arpels,,[기업家] 롯데그룹 ㅣ '바이오부터 유통·화학까지 전방위 확장…신사업...,포털,Cbci,O
3,2026-04-02,2026-04-01,Van Cleef & Arpels,,"[기업리포트] 서희건설, 오너일가 사내이사 '장악'…경영승계 변수는?",포털,Sejungilbo,O
4,2026-04-02,2026-04-01,Van Cleef & Arpels,,"[서울 잠실 월드파크 잔디광장] ➿ Van Cleef & Arpels 전시형 팝업 (2026.03.27. ~ 04.12.) ➿ 스프링 이즈 블루밍 (Spring is Blooming) — 봄을 보석으로 만든 느낌. 꽃, 나비 같은 익숙한 형태들이 전부 섬세하게 재해석돼서 화려한데도 부담스럽지 않다. 가볍게 보기 좋고 - instagram.com",인스타그램,Instagram,SNS
5,2026-04-02,2026-04-01,Van Cleef & Arpels,,ZYX Technology’s CAD and 3D Solutions: From Automation to Visualisation,포털,Vmspace,O
6,2026-04-02,2026-04-01,Van Cleef & Arpels,"Cartier, Tiffany & Co","‘명품 N차 인상’은 뉴노멀… 반클리프, 두달만에 또 가격 올려",포털,문화일보,NW
7,2026-04-02,2026-04-01,Van Cleef & Arpels,,"서희건설, 이봉관 일가 사내이사 재선임...주주 '불안'",포털,Newspicom,O
8,2026-04-02,2026-04-01,Van Cleef & Arpels,"Cartier, Bvlgari","억대 보석 ‘하이주얼리’, 전시회 팝업스토어 열며 대중 속으로",포털,동아일보,NW
9,2026-04-02,2026-04-01,Van Cleef & Arpels,,"엄마, 아빠는 '득템 찬스' 아이들은 백화점 피크닉",포털,매일경제,BD
10,2026-04-02,2026-04-01,Van Cleef & Arpels,,"자동화부터 시각화까지, 직스테크놀로지의 설계 기술",포털,Vmspace,O
11,2026-04-02,2026-04-01,Cartier,,&quot;정원오 여직원과 출장&quot; &quot;전재수 까르띠에 시계&quot;… 의혹 띄워 무당층 공...,포털,한국일보,NW
12,2026-04-02,2026-04-01,Cartier,,"'27세' 김지민, 공개 열애→휑한 정수리 공개…&quot;이 나이에 원형 탈모, 매...",포털,Tvreport,O
13,2026-04-02,2026-04-01,Cartier,Chaumet,[허프 사람&amp;말] 롯데백화점 대표 정현석 예고 없는 '에비뉴엘 잠실점' 방...,포털,Huffingtonpost,O
14,2026-04-02,2026-04-01,Cartier,,Dean’s Transports a Breezy Coastal England Pub to SoHo,포털,Nytimes,O
15,2026-04-02,2026-04-01,Cartier,Bvlgari,‘헉! 기본 점검만 114만원?’…‘오메가’ 찼다가 ‘오마이갓’[소비자...,포털,문화일보,NW
16,2026-04-02,2026-04-01,Cartier,,부산시장 출마 임박 전재수 ‘일잘러’ ‘지역발전론’으로 통일교 리스...,포털,Huffingtonpost,O
17,2026-04-02,2026-04-01,Cartier,"Bvlgari, Louis Vuitton Jewelry",중동 불안에도 명품·주얼리에 지갑 열어…‘빅3’ 백화점 봄 세일 실적...,포털,매일경제,BD
18,2026-04-02,2026-04-01,Piaget,,[브리프]롯데백화점 신세계 더현대 서울 이마트 롯데마트 外,포털,Biztribune,O
19,2026-04-02,2026-04-01,Piaget,,[유통딜리버리] 이마트ㆍ신세계百ㆍ롯데百ㆍ현대百ㆍ쿠팡ㆍ롯데마트ㆍ...,포털,Dnews,O
20,2026-04-02,2026-04-01,Piaget,,"SSG닷컴, '랜쇼페' 기간 '스타템' 쏟아진다...연중 최저가 수준",포털,Financialreview,O
21,2026-04-02,2026-04-01,Bvlgari,,"""남자친구 공개해볼까"" 이혼 5년만에 뜻밖의 남자친구 공개 선언한 여배우의 불가리 시계 - v.daum.net",포털,News.Google,O
22,2026-04-02,2026-04-01,Bvlgari,,'불가리 이터널리 아이코닉 팝업 스토어' 오픈 - v.daum.net,포털,News.Google,O
23,2026-04-02,2026-04-01,Bvlgari,,"'악마는 프라다' 앤 해서웨이, 장애 겪고 있었다…&quot;신체이형장애 앓아&quot;...",포털,Tvreport,O
24,2026-04-02,2026-04-01,Bvlgari,,"제이노블, '봄, 사랑, 그리고 벚꽃' 결혼정보회사 방문 상담 이벤트 진...",포털,Mhns,O
25,2026-04-02,2026-04-01,Bvlgari,,주얼리와 샐러드의 상관관계,포털,Vogue Korea,MM
26,2026-04-02,2026-04-01,Bvlgari,,"플로렌스 퓨, 핀 콜과 공개 연애 시작",포털,Vogue Korea,MM
27,2026-04-02,2026-04-01,Chanel Jewelry,,"'피고인' 윤석열, 진행 중인 재판만 8건…일주일 내내 법정",포털,뉴스1,T
28,2026-04-02,2026-04-01,Chanel Jewelry,,‘통일교 1억 수수’ 묻자 입 닫은 권성동 “표 얻으려 한학자에 큰절”,포털,서울경제,BD
29,2026-04-02,2026-04-01,Chanel Jewelry,,“명품백도 받고” 尹·김건희 영치금 13억 받았다…매일 부지런히 인출,포털,헤럴드경제,BD
30,2026-04-02,2026-04-01,Chanel Jewelry,,"영치금이 서울 아파트 한채 값? 尹, 9개월간 12억원 받았다",포털,Seoul,O
31,2026-04-02,2026-04-01,Chanel Jewelry,,"제니가 든 '샤넬백', 또 가격 오른다…'25 핸드백' 평균 3% 인상 [명품價...",포털,파이낸셜뉴스,BD
32,2026-04-02,2026-04-01,Louis Vuitton Jewelry,,Zendaya and Robert Pattinson on Marriage and Secrets,포털,Nytimes,O
33,2026-04-02,2026-04-01,Louis Vuitton Jewelry,,"루이비통, 신세계 더 리저브에 '워치&주얼리' 매장 열어",포털,Bing,O
34,2026-04-02,2026-04-01,Louis Vuitton Jewelry,,홍화연 &quot;Louis Vuitton&quot;…주얼리 화보 같은 근황,포털,Topstarnews,O
35,2026-04-02,2026-04-01,Louis Vuitton Jewelry,,홍화연 “Louis Vuitton”…주얼리 화보 같은 근황 - topstarnews.net,포털,News.Google,O
36,2026-04-02,,Van Cleef & Arpels,,Van Cleef & Arpels,Klocca,Klocca,O
37,2026-04-02,,Van Cleef & Arpels,,새롭게 피어난 반클리프 아펠 럭키 스프링 컬렉션,Dreams Magazine,Dreams Magazine,MM